epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,335.081,0.93996,3.06333,0.82126,0.00574,0.70908,0.00551,0.00378,0.82647,4.0662,0.79658,0.00038583,0.00038583,0.00038583
2,620.932,0.83868,1.45535,0.82258,0.0036,0.43962,0.10339,0.08263,0.83066,3.61466,0.80112,0.000778169,0.000778169,0.000778169
3,904.237,0.80002,1.02909,0.81554,0.00844,0.99099,0.98106,0.72872,0.84856,2.84919,0.79833,0.00116259,0.00116259,0.00116259
4,1180.62,0.81585,0.92096,0.81818,0.98571,0.96289,0.9943,0.82541,0.71597,1.77203,0.78814,0.00138656,0.00138656,0.00138656
5,1461.5,0.82647,0.84332,0.81999,0.9783,0.9979,0.99482,0.80661,0.75109,1.27253,0.79881,0.00137241,0.00137241,0.00137241
6,1794.76,0.75884,0.77951,0.8143,0.9836,0.99394,0.99482,0.81157,0.70483,0.73787,0.79043,0.00135826,0.00135826,0.00135826
7,2080.37,0.73223,0.70068,0.80527,0.9938,0.99907,0.995,0.82566,0.68464,0.63697,0.78888,0.00134412,0.00134412,0.00134412
8,2361.41,0.69956,0.67915,0.80837,0.99249,0.99407,0.995,0.80583,0.71153,0.59851,0.78707,0.00132997,0.00132997,0.00132997
9,2623.49,0.72248,0.6865,0.80615,0.99602,0.99685,0.995,0.81599,0.72741,0.5864,0.79584,0.00131582,0.00131582,0.00131582
10,2883.87,0.69336,0.61537,0.79549,0.99535,0.99955,0.995,0.84034,0.64144,0.52906,0.78743,0.00130168,0.00130168,0.00130168
11,3142.55,0.66745,0.57191,0.80295,0.99245,0.99099,0.99482,0.82816,0.70294,0.52744,0.79191,0.00128753,0.00128753,0.00128753
12,3593.16,0.6955,0.57414,0.79856,0.99585,1,0.995,0.84706,0.65647,0.51175,0.78608,0.00127338,0.00127338,0.00127338
13,3865.61,0.6736,0.54178,0.8061,0.99786,0.99862,0.995,0.85599,0.66551,0.4764,0.7861,0.00125923,0.00125923,0.00125923
14,4125.79,0.667,0.50708,0.80307,0.99466,0.99824,0.995,0.81914,0.71896,0.50452,0.78878,0.00124509,0.00124509,0.00124509
15,4380.06,0.70168,0.53688,0.80269,0.99476,0.99948,0.995,0.84743,0.64767,0.47725,0.78264,0.00123094,0.00123094,0.00123094
16,4633.77,0.68265,0.50821,0.79835,0.99434,0.99852,0.995,0.85873,0.64426,0.49458,0.78248,0.00121679,0.00121679,0.00121679
17,4893.07,0.65973,0.48786,0.80214,0.99417,0.99968,0.995,0.84492,0.63953,0.46011,0.78368,0.00120265,0.00120265,0.00120265
18,5153.4,0.6339,0.46039,0.79597,0.99204,0.99763,0.995,0.84697,0.62781,0.46338,0.78476,0.0011885,0.0011885,0.0011885
19,5408.6,0.63962,0.44722,0.7944,0.99853,0.99214,0.995,0.8679,0.60374,0.4305,0.77638,0.00117435,0.00117435,0.00117435
20,5666.68,0.64281,0.44218,0.7978,0.99757,0.99888,0.995,0.8519,0.63524,0.40683,0.78216,0.00116021,0.00116021,0.00116021
21,5931.1,0.6371,0.42435,0.80041,0.99408,0.98945,0.99482,0.86123,0.63047,0.41045,0.78296,0.00114606,0.00114606,0.00114606
22,6186.77,0.64116,0.42216,0.79117,0.99616,1,0.995,0.8503,0.64103,0.40527,0.78333,0.00113191,0.00113191,0.00113191
23,6440.48,0.67168,0.4315,0.80353,0.99573,0.99864,0.995,0.85493,0.64058,0.38847,0.78216,0.00111776,0.00111776,0.00111776
24,6695.83,0.6371,0.40269,0.80057,0.99725,1,0.995,0.8259,0.68647,0.39697,0.78572,0.00110362,0.00110362,0.00110362
25,6954.22,0.64973,0.40512,0.79375,0.99737,0.99918,0.995,0.86172,0.62485,0.39228,0.78183,0.00108947,0.00108947,0.00108947
26,7207.29,0.65272,0.41042,0.79947,0.99747,1,0.995,0.8529,0.61045,0.39258,0.77685,0.00107532,0.00107532,0.00107532
27,7465.54,0.62389,0.40104,0.79898,0.99585,1,0.995,0.87292,0.60625,0.37514,0.77978,0.00106118,0.00106118,0.00106118
28,7722.78,0.63328,0.39202,0.7891,0.99563,0.99989,0.995,0.84262,0.65134,0.38413,0.78585,0.00104703,0.00104703,0.00104703
29,7974.67,0.62862,0.39353,0.79362,0.99563,1,0.995,0.86287,0.62068,0.37469,0.77954,0.00103288,0.00103288,0.00103288
30,8229.57,0.60376,0.36806,0.79721,0.99572,0.99975,0.995,0.85676,0.62204,0.36279,0.78244,0.00101873,0.00101873,0.00101873
